image,num_pix,A_total_ms,A_ToS.ctor,A_GoS.build(),A_CToS.build()[from GoS],B_total_ms,B_ToS.ctor,B_CT.ctor,B_CToS.build_from_ct_and_tos(),
../ressource/benchmark/unsplash_png/unsplash_000000.png,10668000,18580.4,13406.4,1152.2,3997.96,22638.5,13113.1,8367.47,1009.79,
../ressource/benchmark/unsplash_png/unsplash_000003.png,6040064,5699.85,4990.37,232.462,473.711,7845.02,4955.68,2608.29,257.397,
../ressource/benchmark/unsplash_png/unsplash_000006.png,13488000,13980.4,13091.4,286.765,582.929,21547.6,13000.7,8177.66,376.412,
../ressource/benchmark/unsplash_png/unsplash_000012.png,4996850,3837.59,3581.73,93.1107,157.221,5538.88,3563.51,1865.34,115.427,
../ressource/benchmark/unsplash_png/unsplash_000014.png,12166656,11663.7,10862.5,277.325,523.04,16696.9,10843.1,5495.83,351.765,
../ressource/benchmark/unsplash_png/unsplash_000021.png,17915904,19652.2,18314.2,444.378,907.83,28423.2,18320.8,9534.31,593.16,
../ressource/benchmark/unsplash_png/unsplash_000023.png,3145728,2882.68,2501.9,131.052,251.973,3987.29,2498.61,1342.24,151.009,
../ressource/benchmark/unsplash_png/unsplash_000026.png,9000000,9955.24,8195.35,488.13,1254.57,13040.8,8185.55,4332.01,502.832,
../ressource/benchmark/unsplash_png/unsplash_000028.png,14981760,14233.1,13726.8,202.908,302.329,22474.5,13774,8486.85,255.445,
../ressource/benchmark/unsplash_png/unsplash_000034.png,20154000,22552.2,20778,540.812,1235.17,31704.2,20782.6,10204.9,725.194,
../ressource/benchmark/unsplash_png/unsplash_000036.png,6348928,7833.13,6422.48,417.288,997.346,10528.7,6419.07,3677.58,414.766,
../ressource/benchmark/unsplash_png/unsplash_000043.png,17945888,22769.2,20641.1,602.644,1520.58,34161.7,21194.5,12161.6,797.463,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
../ressource/benchmark/unsplash_png/unsplash_000050.png,13698726,13669.9,13005,224.795,428.483,21099.3,12972.2,7844.02,294.929,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
../ressource/benchmark/unsplash_png/unsplash_000058.png,3525900,5613.73,4201.66,396.766,1018.86,6821.95,4208.16,2250.46,369.262,
,,,,,,,,,,
,,,,,,,,,,
../ressource/benchmark/unsplash_png/unsplash_000061.png,19669272,31773.5,26354.5,1240.31,4222.47,43932.7,25857.5,16525.7,1574.56,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
../ressource/benchmark/unsplash_png/unsplash_000068.png,7508875,9844.43,8213.54,472.328,1134.31,13768.7,8238.91,5010.25,519.702,
../ressource/benchmark/unsplash_png/unsplash_000069.png,17915904,40053,29093,2488.51,8305.22,48023,28898,16585.4,2298.8,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
../ressource/benchmark/unsplash_png/unsplash_000074.png,24160256,40819.2,33841.6,1859.36,5153.23,56507.8,34010.8,20429.8,2058.67,
../ressource/benchmark/unsplash_png/unsplash_000075.png,22630086,24033.8,22336.3,551.227,1152.84,35749.4,22238.4,12681,750.787,
../ressource/benchmark/unsplash_png/unsplash_000076.png,10036224,19316.8,14857.1,1150.5,3294.23,24389.4,14854,8366.67,1201.63,
,,,,,,,,,,